Rk,School,G,W▼,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Auburn,27,25,2,0.926,30.31,14.13,,13,1,,12,1,,7,1,,2277,1840,,69.1,122,0.324,0.407,0.584,53.8,55.4,10.3,17.1,0.554,11.2,35.7,0.24
2,Drake,28,25,3,0.893,9.2,0.47,,15,3,,13,2,,9,1,,1990,1656,,60.6,115.3,0.427,0.368,0.589,55.7,54.3,14.5,7.7,0.558,16.1,36.5,0.3
3,Duke,28,25,3,0.893,30.56,8.99,,16,1,,15,0,,9,1,,2312,1708,,66.3,124.6,0.316,0.453,0.612,55.9,59.7,10.5,9.9,0.58,12.4,34.7,0.247
4,High Point,30,25,5,0.833,5.42,-5.29,,13,2,,15,1,,7,3,,2465,2066,,67.1,121.9,0.385,0.392,0.603,54.1,45.9,9.1,7.9,0.565,13.1,35,0.297
5,Saint Mary's (CA),29,25,4,0.862,18.5,5.54,,15,1,,15,1,,8,1,,2169,1766,,64.1,115.6,0.306,0.341,0.544,57,57.9,10.2,10.7,0.517,12.4,39.7,0.212
6,Florida,28,24,4,0.857,26.29,9.79,,11,4,,13,1,,6,3,,2341,1879,,70.2,119.1,0.316,0.433,0.57,55.4,52.4,11.4,12.4,0.543,12.6,38,0.225
7,Houston,28,24,4,0.857,28.84,11.73,,16,1,,14,1,,9,0,,2097,1618,,62.1,118,0.273,0.343,0.559,54.2,47.1,12.3,16.6,0.531,12.3,37.3,0.201
8,St. John's (NY),28,24,4,0.857,21.26,8.22,,15,2,,17,0,,6,2,,2204,1839,,70.5,110.2,0.304,0.311,0.524,54,54.1,13.2,16.5,0.495,12.9,37.8,0.21
9,UC San Diego,28,24,4,0.857,13.1,-1.6,,14,2,,11,2,,10,2,,2253,1737,,67.7,118.8,0.328,0.496,0.59,50.3,56.3,15.1,6.9,0.559,11.6,27.4,0.245
10,Utah State,28,24,4,0.857,15.99,4.92,,14,3,,14,2,,7,2,,2309,1946,,68.3,120.8,0.381,0.418,0.599,52.6,63.4,13.2,10.2,0.574,13.6,34.5,0.267
11,Alabama,28,23,5,0.821,26.25,14.86,,12,3,,12,2,,8,2,,2563,2244,,75.9,120,0.41,0.474,0.599,54.5,54.8,7.9,10.4,0.568,14.7,36.2,0.296
12,McNeese State,29,23,6,0.793,8.96,-1.67,,17,1,,13,1,,8,2,,2240,1865,,66.5,116.2,0.338,0.372,0.573,53.3,51.5,13.8,11.2,0.546,14.3,36.4,0.239
13,Tennessee,28,23,5,0.821,25.16,11.59,,10,5,,14,1,,6,4,,2081,1701,,65.3,113.7,0.326,0.43,0.561,54.8,59.9,11,17.1,0.526,13.9,36.7,0.243
14,UC Irvine,28,23,5,0.821,7.83,-0.39,,13,3,,9,2,,11,3,,2092,1840,,70.1,105.2,0.376,0.341,0.555,52.9,62.4,9.6,8.7,0.504,16.3,28.3,0.3
15,Virginia Commonwealth,28,23,5,0.821,15.54,0.83,,13,2,,14,0,,6,3,,2189,1747,,67.3,115.6,0.321,0.48,0.565,53.6,57.9,12.3,15.9,0.532,14.1,36.5,0.237
16,Akron,28,22,6,0.786,3.07,-4.05,,14,1,,14,0,,7,4,,2343,2074,,73,114.1,0.245,0.467,0.576,53,60.3,10.2,9.9,0.552,14.6,32.5,0.183
17,Bradley,29,22,7,0.759,6.31,-0.15,,13,5,,12,3,,7,3,,2275,2028,,67.3,114.7,0.308,0.437,0.604,51.4,54.1,10,11.7,0.574,15.6,27.4,0.238
18,Clemson,27,22,5,0.815,18.84,7.84,,14,2,,13,2,,7,3,,2092,1795,,64.9,116.1,0.275,0.4,0.577,51.9,53.3,11.2,10.7,0.547,13.6,33.7,0.212
19,Gonzaga,30,22,8,0.733,23.73,6.23,,13,4,,13,2,,7,2,,2621,2096,,70.6,122.2,0.308,0.338,0.597,54.6,61.8,10.5,8.6,0.561,11.7,33.4,0.247
20,Liberty,27,22,5,0.815,7.77,-1.81,,10,4,,11,2,,7,2,,2047,1650,,67.2,112.3,0.283,0.484,0.592,49.6,60.6,10.4,7.1,0.579,13.8,21.5,0.184
21,Louisville,28,22,6,0.786,19.11,8.86,,15,2,,11,3,,9,2,,2227,1940,,69.3,114.2,0.34,0.494,0.568,53.3,52.9,9.6,8,0.533,13.9,32.9,0.254
22,Memphis,27,22,5,0.815,13.77,7.15,,12,2,,11,2,,9,2,,2149,1970,,70.7,111,0.393,0.35,0.575,50.5,52.5,10.7,12.1,0.543,16.6,33.1,0.279
23,Michigan State,27,22,5,0.815,21.72,9.98,,13,3,,13,1,,6,2,,2132,1815,,68.9,114,0.382,0.323,0.567,56.8,63.1,8,13.7,0.518,14.5,36.8,0.306
24,New Mexico,28,22,6,0.786,15.49,6.34,,14,3,,14,1,,6,4,,2305,2006,,73.7,110.7,0.373,0.328,0.55,53,52.4,12.1,14.5,0.519,13.6,32.2,0.257
25,Robert Morris,30,22,8,0.733,-0.77,-5.64,,14,5,,15,2,,7,6,,2280,2111,,69.1,108.1,0.385,0.358,0.547,53,58.8,9.4,12,0.507,16.1,34.9,0.279
26,San Francisco,29,22,7,0.759,11.03,2.75,,12,4,,16,1,,4,5,,2194,1946,,68.6,109.8,0.361,0.446,0.564,50.4,52.6,10.1,10.1,0.533,15.1,28.9,0.254
27,UNC Wilmington,29,22,7,0.759,1.5,-4.06,,12,4,,14,3,,8,4,,2309,2055,,67.4,116.5,0.373,0.367,0.568,55.2,55.2,9.4,9.5,0.532,13.7,37.4,0.273
28,Wisconsin,28,22,6,0.786,21.97,10.62,,12,5,,14,2,,5,4,,2293,1975,,68.7,118.7,0.34,0.477,0.601,52.5,54,7.8,5.7,0.556,12.7,28.4,0.283
29,Central Connecticut State,27,21,6,0.778,-3.19,-9.83,,12,2,,10,2,,11,3,,1968,1704,,66.8,109.1,0.259,0.352,0.565,52.9,53.3,11,12.2,0.54,14.7,27.7,0.189
30,Chattanooga,29,21,8,0.724,0.52,-3.74,,13,3,,13,3,,8,5,,2283,2101,,67.8,115.1,0.304,0.462,0.59,50,62.1,9.9,8.4,0.559,13.2,26.5,0.232
31,College of Charleston,29,21,8,0.724,-0.56,-2.59,,11,5,,11,2,,7,5,,2222,2142,,70.5,107.3,0.341,0.397,0.552,49.7,58.7,9.1,5.9,0.518,14.2,26.6,0.246
32,Furman,29,21,8,0.724,-1.36,-3.36,,9,7,,12,3,,8,5,,2215,2004,,67.4,112.4,0.329,0.506,0.564,51.8,64.9,9.5,9.2,0.539,14.2,31.7,0.226
33,George Mason,27,21,6,0.778,8.73,1.43,,12,2,,15,1,,6,5,,1919,1684,,65,106.5,0.412,0.369,0.553,54,51.6,10.6,9.5,0.517,16.6,32.4,0.288
34,Iowa State,28,21,7,0.75,22.3,9.45,,11,6,,14,1,,5,5,,2242,1882,,69.6,114,0.396,0.36,0.579,53.6,54,13.2,10.1,0.54,14.5,33.3,0.296
35,Lipscomb,30,21,9,0.7,5.22,-4.24,,13,4,,11,3,,10,6,,2378,2023,,68.4,115.9,0.295,0.462,0.589,51.4,54.8,10.3,7.3,0.556,12.3,25.9,0.23
36,Marquette,28,21,7,0.75,19.65,9.58,,12,5,,14,2,,6,5,,2159,1877,,67.9,113.1,0.263,0.466,0.547,49.2,51,13.9,11.7,0.519,11.4,31.2,0.193
37,Maryland,27,21,6,0.778,23.31,6.94,,11,5,,16,1,,3,5,,2259,1817,,70.7,117.9,0.321,0.356,0.585,53.8,49.9,10.5,11.9,0.555,12.9,32.4,0.239
38,Miami (OH),28,21,7,0.75,-0.95,-5.22,,12,3,,14,1,,5,6,,2284,2048,,70.8,114.7,0.285,0.44,0.597,50.3,55.1,11.7,10.6,0.574,15.1,28.7,0.208
39,Michigan,27,21,6,0.778,20.9,11.45,,13,3,,12,1,,7,2,,2151,1896,,70.6,111.8,0.355,0.435,0.587,53.6,58.5,8.1,10.4,0.558,17.6,33.7,0.257
40,Missouri,28,21,7,0.75,21.6,8.17,,10,5,,18,1,,3,5,,2361,1985,,69.8,120.8,0.473,0.419,0.603,51.4,50.6,14.3,8,0.568,13.2,33.2,0.342
41,North Alabama,30,21,9,0.7,1.33,-5.42,,13,4,,13,1,,7,8,,2384,2128,,67.8,116.2,0.305,0.359,0.552,52.5,43,11.1,9.5,0.522,11,34.3,0.219
42,Northern Colorado,29,21,8,0.724,1.06,-3.17,,13,3,,13,2,,7,6,,2368,2139,,69.1,116.6,0.328,0.391,0.607,52.9,55.3,8.9,6.7,0.583,13.7,26,0.236
43,Samford,29,21,8,0.724,2.67,-3.85,,11,5,,13,3,,8,5,,2394,2120,,71.8,113.9,0.268,0.468,0.569,50.8,56.7,13.8,12.3,0.546,15.4,35.5,0.191
