,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,27,14,13,0.519,-5.2,-1.95,,6,6,,9,4,,4,9,,1933,1901,,1085,697,1538,0.453,127,408,0.311,412,582,0.708,289,898,347,292,73,391,553
2,Air Force,28,4,24,0.143,-7.34,2.73,,1,16,,3,12,,0,12,,1748,2030,,1130,598,1411,0.424,225,671,0.335,327,512,0.639,210,835,371,160,82,374,494
3,Akron,28,22,6,0.786,3.07,-4.05,,14,1,,14,0,,7,4,,2343,2074,,1125,853,1821,0.468,304,851,0.357,333,446,0.747,333,1110,514,210,104,347,515
4,Alabama,28,23,5,0.821,26.25,14.86,,12,3,,12,2,,8,2,,2563,2244,,1125,868,1789,0.485,297,848,0.35,530,734,0.722,375,1224,476,168,129,369,528
5,Alabama A&M,28,10,18,0.357,-18.52,-9.8,,6,9,,8,9,,2,9,,2121,2216,,1140,721,1760,0.41,231,724,0.319,448,670,0.669,412,1063,392,243,116,455,623
6,Alabama State,28,13,15,0.464,-10.84,-8.02,,9,6,,7,3,,4,10,,2070,2095,,1125,724,1788,0.405,248,771,0.322,374,547,0.684,327,1005,322,211,78,253,524
7,Albany (NY),28,14,14,0.5,-9.62,-7.7,,6,7,,6,7,,6,6,,2081,2068,,1135,761,1729,0.44,188,606,0.31,371,511,0.726,324,933,341,236,52,306,498
8,Alcorn State,27,8,19,0.296,-12.57,-4.07,,8,6,,5,2,,3,17,,1754,1981,,1085,628,1553,0.404,153,470,0.326,345,479,0.72,325,918,274,180,72,365,463
9,American,29,18,11,0.621,-7.75,-5.94,,12,4,,11,1,,4,10,,1990,1977,,1180,688,1569,0.438,239,702,0.34,375,491,0.764,232,885,361,185,57,323,538
10,Appalachian State,29,17,12,0.586,-1.07,-3.26,,10,7,,10,4,,5,7,,1989,1834,,1165,702,1588,0.442,224,652,0.344,361,555,0.65,279,1077,373,162,106,312,392
11,Arizona,27,18,9,0.667,23.66,12.51,,12,4,,11,3,,6,3,,2202,1901,,1090,783,1655,0.473,182,576,0.316,454,586,0.775,341,1094,464,221,113,324,439
12,Arizona State,27,13,14,0.481,12.91,12.87,,4,12,,5,7,,3,6,,1989,1988,,1095,678,1540,0.44,244,682,0.358,389,543,0.716,242,940,361,157,130,357,452
13,Arkansas,27,16,11,0.593,17.35,10.72,,5,9,,12,4,,3,5,,2054,1875,,1080,739,1579,0.468,192,578,0.332,384,528,0.727,245,944,393,212,155,309,437
14,Arkansas State,29,20,9,0.69,5.94,-2.1,,11,5,,13,2,,6,5,,2283,2015,,1170,790,1854,0.426,269,835,0.322,434,602,0.721,376,1173,404,220,127,313,529
15,Arkansas-Pine Bluff,28,5,23,0.179,-25.03,-6.68,,2,13,,4,6,,1,17,,2027,2403,,1120,754,1680,0.449,203,641,0.317,316,530,0.596,279,956,406,201,59,415,543
16,Army,29,16,13,0.552,-10.85,-7.14,,10,7,,12,3,,4,10,,2146,2154,,1190,797,1784,0.447,246,756,0.325,306,448,0.683,295,1025,421,190,67,298,451
17,Auburn,27,25,2,0.926,30.31,14.13,,13,1,,12,1,,7,1,,2277,1840,,1080,811,1689,0.48,249,687,0.362,406,548,0.741,333,1044,449,193,176,246,490
18,Austin Peay,30,13,17,0.433,-8.74,-2.7,,8,9,,8,5,,4,11,,2138,2240,,1215,750,1797,0.417,262,753,0.348,376,526,0.715,303,981,372,213,76,298,540
19,Ball State,28,14,14,0.5,-7.08,-6.4,,7,8,,8,6,,4,7,,2151,2091,,1130,711,1537,0.463,204,575,0.355,525,749,0.701,264,992,375,145,53,329,465
20,Baylor,28,16,12,0.571,19.42,13.27,,8,9,,12,2,,2,9,,2186,1966,,1145,775,1706,0.454,246,681,0.361,390,518,0.753,352,1001,422,216,85,316,454
21,Bellarmine,30,5,25,0.167,-14.37,-4.3,,2,15,,5,10,,0,15,,2191,2404,,1210,790,1690,0.467,274,752,0.364,337,435,0.775,202,887,430,191,52,362,510
22,Belmont,29,19,10,0.655,1.26,-0.2,,11,7,,10,5,,8,4,,2348,2284,,1165,844,1801,0.469,316,810,0.39,344,480,0.717,282,996,504,200,90,318,447
23,Bethune-Cookman,28,13,15,0.464,-9.49,-5.45,,10,5,,5,2,,7,12,,1922,2035,,1120,682,1573,0.434,169,534,0.316,389,561,0.693,276,992,345,182,108,393,461
24,Binghamton,29,15,14,0.517,-11.9,-8.25,,7,7,,9,3,,5,10,,2042,2064,,1175,733,1574,0.466,212,576,0.368,362,525,0.69,258,1052,389,135,85,394,490
25,Boise State,27,19,8,0.704,14.39,5.55,,11,5,,12,1,,4,5,,2055,1790,,1085,705,1495,0.472,193,600,0.322,450,585,0.769,278,981,403,146,68,309,425
26,Boston College,27,12,15,0.444,0.89,4.71,,4,12,,9,7,,0,7,,1915,2018,,1115,687,1577,0.436,184,520,0.354,357,495,0.721,278,944,315,140,107,324,499
27,Boston University,29,14,15,0.483,-10.86,-7.79,,8,8,,11,3,,2,12,,1925,1973,,1180,692,1590,0.435,231,689,0.335,310,480,0.646,317,1025,354,173,78,387,451
28,Bowling Green State,28,12,16,0.429,-9.26,-5.61,,6,9,,7,7,,4,8,,2090,2096,,1120,721,1642,0.439,231,671,0.344,417,556,0.75,266,946,318,213,90,337,496
29,Bradley,29,22,7,0.759,6.31,-0.15,,13,5,,12,3,,7,3,,2275,2028,,1180,795,1642,0.484,295,717,0.411,390,506,0.771,250,1016,430,198,111,348,494
30,Brigham Young,27,19,8,0.704,19.22,7.96,,10,6,,13,2,,4,5,,2181,1877,,1095,783,1615,0.485,288,779,0.37,327,469,0.697,302,1002,466,198,86,320,422
31,Brown,24,13,11,0.542,-4.2,-4.12,,5,6,,8,5,,5,6,,1772,1733,,975,653,1427,0.458,208,593,0.351,258,402,0.642,254,863,368,141,128,278,374
32,Bryant,28,17,11,0.607,-2.84,-6.73,,11,2,,8,3,,8,7,,2296,2094,,1125,841,1838,0.458,226,662,0.341,388,547,0.709,370,1147,411,188,166,331,434
33,Bucknell,29,15,14,0.517,-4.63,-5.15,,11,5,,11,3,,4,10,,2126,2111,,1215,748,1628,0.459,240,684,0.351,390,592,0.659,247,984,392,195,92,390,512
34,Buffalo,28,8,20,0.286,-15.57,-3.8,,3,12,,5,8,,3,12,,2000,2262,,1120,692,1645,0.421,216,726,0.298,400,576,0.694,257,973,377,190,98,411,476
35,Butler,27,13,14,0.481,11.28,9.13,,6,10,,9,6,,2,7,,2013,1955,,1085,677,1460,0.464,219,585,0.374,440,598,0.736,231,966,388,99,77,313,375
36,Cal Poly,28,11,17,0.393,-3.63,1.03,,5,11,,7,5,,4,12,,2255,2348,,1140,793,1740,0.456,302,879,0.344,367,484,0.758,284,990,417,205,60,457,502
37,Cal State Bakersfield,29,12,17,0.414,-4.79,-1.24,,6,11,,8,6,,3,10,,2132,2110,,1165,740,1685,0.439,191,498,0.384,461,596,0.773,367,1031,292,199,80,369,594
38,Cal State Fullerton,28,6,22,0.214,-14.1,0.37,,1,15,,4,9,,2,13,,1798,2135,,1120,601,1473,0.408,133,491,0.271,463,621,0.746,269,915,252,159,53,408,523
